star,date,info,content
평점3,23.09.07.,모델선택: 512GB / 색상선택: 라벤더,"크림 구매하고 싶었는데ㅠㅠ 품절이라서 라벤더로 샀어요? 네이버에서 구매하게 된 이유 : 타사대비 약1만원정도 여기가 더 저렴했구요국민카드는 실적 이미 끝나서.. 다른 카드 실적채울겸 다른데서 살까 고민하다가 네포 1만정도면 어느정도 커버될거같아서 결국 구매결정했습니다!라방이 저녁이었고 다음날 바로 도착했지만 케이스랑 강화유리필름 부착하고 사용하려고 하루정도 놔뒀네요ㅎㅎㅎ? 택배 개봉 후기 : 전자기기인데 뾱뾱이나 에어백같은게 아닌 종이 꾸겨넣은거 위,아래 2장. 꽉 채운거도 아니라 흔들면 안에 폰 상자 요동치는 소리 들릴정도..씰 상태를 보니 새거는 맞는거 같은데 바코드 스티커 부분이 먼지 구덩이에 들어갔다 나온 것처럼 흙먼지 묻은거 같음? s23 구매계기 및 s10 5g와 느낌 비교 : s10 5g로 5년 가까이 사용했고 배터리 광탈해서 교체해야되는데.. 추운데서 일하다 떨어뜨렸더니 폰이 얼어서 뒤판이 깨져버려서ㅜㅜ 배터리 교체 못하려면 뒤판까지 두배로 들기에 플렉스 했습니다나름 엣지 화면에 적응된 상태였어서 플랫한 화면이 작응이 잘 안되는듯 하나 두개 다 나름의 매력이 있네요오랫만에 작은 폰 쓰는데.. 화면 작으면 답답할까봐 걱정했는데 음.. 그대로 데이트 및 폰트 옮기고 설정 손 안대고 봤을 때 글씨 크기는 더 작아보이네요ㅎ.ㅎ..배터리가 얼마나 갈지가 가장 궁금한데..! 더 써보고 한달후기로 올게요"
평점5,23.06.15.,용량: S23울트라 256GB / 색상: 그린,"어제(14일)저녁 8시에 주문했는데오늘 오후 2시에 왔네요~배송 진짜 빨라요ㅎ아버지 핸드폰이 너무 오래되서친구 분들도 다 좋은 폰 쓰신다는부러움 섞인 하소연과지인이 갤럭시 23 울트라 쓰는데화질이 너무 좋아아버지 생신 맞아 주문했어요~대리점 여러군데 뿐 아니라자급제도 쿠* 뿐 아니라이것 저것 엄청 뒤졌는데여기가 제일 싸네요^^아버지도 너무 좋아하셨구요~다만 종이 박스에 완충제는 종이 하나 깔려 와서그거는 조금 놀랬어요ㅋ그래도 빠른 배송에, 싼 가격으로 최신폰을 구매한 것에완전 만족합니다~잘 쓰겠습니다."
평점5,23.07.02.,모델선택: 256GB / 색상선택: 그린,아내에게 사줬는데 아내가 너무 좋아하네요~배송 별 다섯개배송 진짜 빠릅니다 다음날 도착보장이여서 그런지 하루만에 잘 도착했습니다~라이브 방송 나올때 구매했는데 그래서 혜택이 좋네요 저렴하게 잘 구매했습니다~ 색깔은 그린색인데 너무 딥 하지도 않고 적당한것 같네요 생폰으로 하고 다니고 싶지만 비싸니 케이스 껴야겠어요~ ㅎㅎ 화면도 선명하고 좋습니다~ 주사율120hz 안써도 그렇게 느리지 않고 또 선명하고 좋아요~ 사진 화질도 말할 필요없이 좋습니다~ 아내의 전 폰은 노트10인데 그 폰에 있던거 고대로 옮길수 있어서 그냥 사용하던 폰처럼 사용하는게 너무 편하다고 하네요 좋은제품 판매해주셔서 감사합니다~
평점5,23.06.18.,용량: S23 512G / 색상: 크림,"역시 갤S23 소문대로 아주 좋네요.25W 충전기도 1~2일 지나서 도착했고요.포장이 허술하다고 적혀있는 글들이 종종있었는데, 뽁뽁이에 포장되서 왔으면 구매자들이 좀 더 기분 좋을듯 합니다.동작 이상없고 따로 구매한 케이스에도 쏙 들어가서 아주 만족합니다. ^^삼성공식판매처라 믿음이 더 가네요~~번창하세요."
평점4,23.06.22.,용량: S23플러스 256GB / 색상: 그린,자급제 처음 구매라 걱정  됫는데 좋네요4%쿠폰 때문에 정신이 없던거 와 A34도 쌓여있던 종이포장이 비싼 S23플러스에 없는 게 살짝 당황하긴 했지만 기계에 이상 없이 사용하고 있는거에 만족합니다. 배송이 너무 빨라도 의심이....ㅎ충전기 헤드는 이틀 뒤에 따로 받았는데 폰 검수 다 하고 같이 보내주셔도 될듯요~(제 생각이 그래요)
평점5,23.06.20.,용량: S23플러스 512GB / 색상: 크림,자급제 처음이라 걱정 햇는데 고장없이 잘 사용 중  입니다. 주문한 다음날 저녁에 도착햇어요 배송 최고!!쿠폰에 문제가 있어 급하게 사느라 정신이 없엇긴 햇지만 약정 요금제 싫고 스마트스위치로 기존 폰에서 가져오는 것도 쉽고 저한테는 자급제가 딱이에요~S23플러스 2대 같이 사려다 아이디당 1대만 구매 가능해서 살짝 당황햇어요충전기는 다음날 따로 와서 받앗습니다.택배 비용 아까운듯ㅎ
평점5,23.06.27.,용량: S23울트라 512GB / 색상: 크림,"갤럭시 S10 사예로 구매해서 쓰다가 이제야 바꾸게되었네요.핸드폰 자급제로 구매하려고 찾고있다가 위드플러스를 알게되서 쿠폰도 받고 하다가 라이브방송을 한다기에 기다렸더니 좋은가격으로 구매할수있었던것같습니다.  지금 쓴지 약 2주되어가네요. 자급제로 처음 사서 써보는데, 쓰던 요금제 그래도 유심만 바꿔서 써서 매달 요금제 걱정안해도 되고, 바이올렛생각도 했는데, 오래오래 무난하게 쓰려면 크림일거같아서 크림으로 주문했어요. 카메라는 기대한것보다 더 좋고 기대됩니다. 한달 뒤에 콘서트 가는데, 거기서 큰 활약을할것같거든요! 기존 핸드폰도 512G쓰고있어서 512G로 주문했어요. 23은 칩 추가가 안된다고 ... 핸드폰 오고 다음날 충전기도 배송되어서 기분좋게 핸드폰 연결해서 쓰고있습니다. 많이 파세요~"
평점5,23.04.15.,상세페이지안내내용동의: 동의함 / 컬러: 그린,저렴하게 휴대폰 구매해서 좋네요. 다른 폰으로 찍은 사진이랑 새로 산 폰으로 강아지 움짤 찍은거 올립니다. 포장도 잘 되어서 왔어요.다른 곳에서 진열상품 구매하려다가 혹시 미개봉은 가격이 어떨지 검색해서 여기서 구매했는데. 진짜 새상품이네요. 포인트까지 생각하면 여기가 제일 저렴해요. 박스 씰까지 다 붙여져 있더라고요. 케이스랑 필름까지 서비스로 넣어주셨는데. 임시용으로 쓰다 구매하려고요. 많이 파세요.
평점3,23.06.27.,용량: S23 256GB / 색상: 라벤더,완충제가 종이 한장 접은거 라니요. 두꺼운것도 아니고 충전기는 아예 없고  이럴꺼면 박스를 작은걸로 하지 그러셨어요. 뭐 성능이야 s9썼으니 당연히 더 좋을테고 엣지 없는거 오랜만에 쓰니 좀 불편하네요. 각져 있어서 잡을때 불편하고 화면 색상이라던가 그 외가 달라서 그렇지  적응 금방하겠죠. 포장이 허술해서 고장 금방 안났으면 합니다. 잘 쓰겠습니다.
평점5,23.04.22.,정보없음,"- 구매를 고민하고 계속 지켜봤었는데 아쉽게 프린터 사은품은 놓치게 되었지만, 더 늦기전에 후다닥 주문했습니다. 배송은 평일 기준으로 약 2일 정도 소요되었기 때문에 양호한 편이었고, 첨부한 영상에서와 같이 두꺼운 종이포장 안쪽에 충전재가 든 패키징으로 파손 없이 안전하게 도착했습니다. 1. 사이즈와 컬러- 제 생각에 S23 기본형이 이번에는 정말 잘 나왔습니다. 기본형에도 베이퍼챔버가 적용되어서 발열을 잡았고 사이즈도 너무 작지않으면서 한 손 조작이 용이한 수준이기 때문에 휴대성을 중요시하는 분들에게는 플러스나 울트라보다 메리트가 있다고 봅니다. 그리고 이 사이즈에 크림 컬러가 너무 잘 어울리네요. 화이트보다 더 고급스러운 느낌의 화이트고 고릴라글래스 적용으로 내구성도 높였구요.2. 256기가 용량 및 성능- 일단 용도가 중요한데 게임을 많이 하시는게 아니거나 사진을 정말 많이 찍는분이 아니라면 256기가가 딱 적당하지 않나 싶습니다. 512로 올라가는 순간 거의 10만원 이상 차이입니다. 가격 차이를 감안하고, 일상생활에서의 용도를 고려한다면 일반 수준에서 유툽, 웹서핑, 카톡, 문서확인 정도라면 256기가로도 충분하다고 생각합니다.3. 마무리- 하이마트에 이미 한 번 방문해서 가격 확인을 한 차례 했었고, 이번에 할인소식을 접해서 구매했습니다. 행사기간이었고, 또 카드혜택도 있어서 좋은 가격에 구입해서 기분이 좋네요. 앞으로도 종종 하이마트 방문하겠습니다!"
