title,reply
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,사전예약한 사람들은 한시라도 더 빨리 받아보고 싶은 진성팬층일텐데 배송날짜가 플랫폼마다 다 다르다는건 정말 고객입장에서 전혀 생각을 안하는 주먹구구식 운영이라고 생각함
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,잇섭님은 제품 리뷰할때 성능이 좋다 안좋다 라는 면보다는 가격대비 유저들의 만족감 가성비를 생각하시는것 같습니다 아무리 성능이 좋아도 가격이 부담되는건 어떨수없는 현상이고 가격대비 실 사용자 만족을 주지 못하는 제품이 나올때 그점을 언급해줘서 좋은것 같습니다
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"이번 S23 시리즈에서 일반 모델의 급나누기 차이가 줄어서 너무 좋아요!
작은폰을 선호하시는 분들한테 드디어 선택할만한 폰이 생긴거 같네요
디스플레이 불량이슈는 센터에서 인지하고 있어서 다행이네요 역시 삼성 AS..."
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,이번에 23은 안드로이드 폰으로써는 큰 발전이 있는 폰으로 생각됩니다. 그렇지만 잇섭 님이 언급하신 대로 게임같은 고성능 모드를 사용하지 않는다면 갈아탈 이유는 적은 것 같습니다. 오히려 그 돈으로 다른 전자 기기를 구입해서 느끼는 만족감이 더 클 것 같습니다.
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"S20 플러스 디자인빼고 엄청 만족하면서 쓰다가 S23울트라 넘어왔는데 아주 만족스러움.
S20도 그렇고 이번 S23도 가격 인상될때만 구입해서 뭔가좀 억울하지만 그만큼 만족감은 좋아서 후회는 없음. 가격낮추고 원가절감하는것보다 적당히 인상시키더라도 질을 올려서 프리미엄 제품다운 만족감을 소비자들에게 주는것이 현명한 판단인듯."
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"s10 기본형에서 s21 기본 넘어갈 땐 디자인이랑 120hz는 맘에 들었는데 성능은 생각보다 별로에다 발열문제, 원가절감 때려박아서 만족감이 거의 없었는데 이번에 s23+는 진짜 딱 기본세팅하고 게임하고 멀티윈도우 띄우고 여러가지 하는데 빠릿빠릿하고 새거 산 만족감이 확 올라옴"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"기존 핸드폰을 4년 정도 쓰다가 23울트라 모델로 넘어왔는데 성능,카메라,배터리 모두 체감이 커서 만족하고 있습니다.
가격은 저렴하지 않지만 이 정도 만족감 준다면 괜찮은거 같습니다. 원가절감하고 망하는거 보다 차라리 제대로 만들고 제 값 받는게 차라리 낫다는걸 S23이 보여주고 있네요
(정확히는 TSMC...?)"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"s22, 폴드4, s23 쓰고있는데 신기한게 AP차이가 체감될 정도로 크더라구요. 스냅 888은 많이 아쉬웠고 8젠1은 만족했고, 지금 쓰는 8젠2는 이게 어떻게 더 좋아졌지? 싶을 정도로 차이가 확연해서 만족중입니다."
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"아.. 이미 s21 플러스 유저지만, 이번 s23은 진짜 잘나온것 같아요.ㅎㅎ s22는 진짜 실망스러웠는데 디자인도 그렇고 성능도 그렇고 진~~~짜 잘나온것 같아요. ㅋㅋ 그리고 이번에는 2억 화소 메인 카메라가 신의 한 수인 듯하네요. ㄷㄷ 잇섭님 대성하시고 사용후기도 기다릴게요~ ㅋㅋ 그리고 사실 영상에서 말씀하신 것처럼 s21은 gos이슈도 없고 발열도 케이스를 끼면 별로 못느끼고 카메라도 울트라는 1억 800만 화소고, 플러스나 기본형도 6400만 화소 정도 하기땜에 화질도 준수하고 뭐.. s21+ 유저입장에서는 다음세대에서 갈아타도 늦진 않을 것 같네요. ㅎㅎ 좋은 리뷰 항상 감사드립니다! ㅋㅋ"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"영상 잘봤습니다~ 배송 중구난방 완전 동의!!!
이전 폰 3년넘게 쓰다가 잇섭님 리뷰보고, 처음으로 사전예약+자급제 라는걸 ㅎㅎㅎ
복잡한거 싫어서 삼성닷컴에서 사전예약 구매했는데 그라파이트가 인기가 많은지 3월2일 도착 예정이라네요 ㅋㅋㅋㅋ
공식홈페이지가 제일 느리다니 ㅠㅠ
사전예약 쿠폰 등록이 28일까지던데 어쩌라는건지....ㅋ
무튼 기다리는 마음 설레네요~~"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,s20 울트라 존버하다가 드디어 개박살나서 s23 울트라로 넘어왔는데 너무 만족스러워요 20때도 오래써야지 할 정도로 맘에들어서 오래 쓴건데 그땐 색을 많이 안내줘서 선택지가 별로 없었지만 23은 색도 다양하게 잘 나왔고 라벤더 실물 겁나 예뻐요 미쳤음 그리고 카메라도 깔끔하게 바껴서 너무 맘에 듭니다 이것도 최대한 오래 써야겠어요
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,내가 잇섭 영상보는 이유. 현실적인 소비자입장에서 리뷰를 너무 잘해주심. 심지어 갈아 탈지말지에 대한 답도 명쾌하게 해줌. 나같이  약간 선택장애 있는사람들은 진짜 도움많이됨.
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"진짜 UWB 편해요~ 플러스에 GV60 쓰는데... 그냥 폰이 보안문제 없는 키가 되니 너무편합니다~
잇섭,없섭 말고는 이런 최첨단 편의기능 제대로 설명해주는 테크유튜버,차량유튜버가 한명이 없다는게 증말..."
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"이번에 디스플레이 이슈말고 나머지는 너무 잘 나온 것 같아서 만족스럽게 사용중입니다~ 
근데 21 22에서도 있던 문제면 이걸 해결할 방법을 찾아야하는게 아닐까 싶긴 하네여 ㅎㅎ"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"2017년때 구독자 몇천명 안될때 영상을 본거 같았었는데 벌써 230만명이라는 구독자수로 채널이 성장 했다니 반가울 다름입니다. 
채널이 성장하는 만큼 영상 퀼리티도 좋아졌습니다. 
그동안 저는 암이라는병과 투병 , 여러일들이 있었습니다. 6년이라는 시간이 참으로 길고도 짧은거 같습니다. 
잇섭님 300만 가즈아!!!"
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"S21 기본형 사용하다가 S23+로 바꾼 사람인데, 엄청 만족하는 편입니다.
단 하나, 색감이 S21보다 물빠진 색감이 되어서(선명한, 편안한 모드 둘 다) 그거 하나가 계속 신경이 쓰여 색감 조정하느라 시간 좀 보냈습니다.
S21은 솔직히 여름에 집어던질뻔했습니다. 게임을 한 것도 아닌데, 폰으로 이것저것 사용하다가 전화를 받거나 카메라를 켜면 맛탱이가 가가지고 화면이 멈추거나 몇 초 뒤에야 작동을 하는 현상이 많았거든요.
배터리도 S21은 처음 받았을때부터 새폰인데도 오래간다는 느낌이 없어서 충전이 생활화 되었었지요.
아직 겨울이라 테스트해보긴 어렵지만, S23은 일단 기본적인 영상보고 앱으로 활동하는 상황에서는 발열이 확실히 적고, 배터리도 S21때 두세번 충전할 타이밍에 한번만 충전하면 될 정도로 용량도 효율도 좋네요.
S23+를 쓰면서 몇가지 더 아쉬운건 무게가 증가해서 아예 가볍게 S23 기본형을 가거나, 무게에서 실 체감이 별로 차이가 안나는 S23U로 가는게 좋았지 않았을까 싶기도 합니다.
화질또한 화면은 커지면서도 화소수는 살짝 줄어서 FHD등급의 영상은 좀 화질이 떨어져 보이는것도 기본형이나 울트라 중에서 선택할껄 하는 생각을 하게하는 포인트입니다."
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,불량 컬렉터였던 잇섭님이 드디어 양품을 받으셨군요. 축하드립니다.
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,21년3월부터 s20u 모델을 쓰다가 큰게 좀 불편해서 이번에 s23 기본 모델로 사전예약을 해서 사용하고 있는데요. 배터리가 살짝 아쉽긴 해도 전체적으로 너무 만족합니다. 라벤더 너무 이뻐요!
내가 실제로 구입한 갤럭시 S23은 무엇일까? 현재 이슈되는 화면 불량 체크하기,"잇섭님! 카메라 차이 관련두 한번 다뤄주셨으면.. 카알못인데
막상 찍어보면 자동이 젤 잘나오는거같은데 일반,200mp,50mp차이가 뭔지 궁금해여ㅜㅜ"
