star,date,info,content
평점5,23.06.15.,용량: S23울트라 256GB / 색상: 그린,"어제(14일)저녁 8시에 주문했는데오늘 오후 2시에 왔네요~배송 진짜 빨라요ㅎ아버지 핸드폰이 너무 오래되서친구 분들도 다 좋은 폰 쓰신다는부러움 섞인 하소연과지인이 갤럭시 23 울트라 쓰는데화질이 너무 좋아아버지 생신 맞아 주문했어요~대리점 여러군데 뿐 아니라자급제도 쿠* 뿐 아니라이것 저것 엄청 뒤졌는데여기가 제일 싸네요^^아버지도 너무 좋아하셨구요~다만 종이 박스에 완충제는 종이 하나 깔려 와서그거는 조금 놀랬어요ㅋ그래도 빠른 배송에, 싼 가격으로 최신폰을 구매한 것에완전 만족합니다~잘 쓰겠습니다."
평점5,23.06.27.,용량: S23울트라 512GB / 색상: 크림,"갤럭시 S10 사예로 구매해서 쓰다가 이제야 바꾸게되었네요.핸드폰 자급제로 구매하려고 찾고있다가 위드플러스를 알게되서 쿠폰도 받고 하다가 라이브방송을 한다기에 기다렸더니 좋은가격으로 구매할수있었던것같습니다.  지금 쓴지 약 2주되어가네요. 자급제로 처음 사서 써보는데, 쓰던 요금제 그래도 유심만 바꿔서 써서 매달 요금제 걱정안해도 되고, 바이올렛생각도 했는데, 오래오래 무난하게 쓰려면 크림일거같아서 크림으로 주문했어요. 카메라는 기대한것보다 더 좋고 기대됩니다. 한달 뒤에 콘서트 가는데, 거기서 큰 활약을할것같거든요! 기존 핸드폰도 512G쓰고있어서 512G로 주문했어요. 23은 칩 추가가 안된다고 ... 핸드폰 오고 다음날 충전기도 배송되어서 기분좋게 핸드폰 연결해서 쓰고있습니다. 많이 파세요~"
평점4,23.06.15.,용량: S23울트라 512GB / 색상: 팬텀블랙,배송 잘 받았습니다~!스마트폰 단품만이라 구성이 살짝 아쉽긴 했어요간단한 투명 케이스 있으면 좋을 거 같습니다.가죽케이스 따로 주문했고확실히 카메라 부분이 튀어나와있어서원래 쌩폰 상태로만 쓰는데뒷면 케이스는 사야겠네요!앞으로도 좋은 행사 잘 부탁드립니다~~
평점5,23.10.15.,용량: S23울트라 512GB / 색상: 팬텀블랙,"갤럭시S10 3년 좀 넘게 쓰다가 갤럭시 S23울트라 바꾸게 됐습니다. 바꾸게 된 계기는 S10이 사용연식이 되다보니까 발열이 너무 심해져서 더이상 사용하기가 힘들고 밧데리 과열이 너무 심해져서 사용하기가 어려워져서 바꾸게 되었습니다.그동안 바꾸고 싶은 마음이 되게 많았는데,안 바꾼 이유는 폰 가격이 너무 비싸서 원기옥을 모으고 했었다고 해야 할까요? 어쨌든 바꾸고 나니, 이제 핸드폰 발열 걱정은 안해도 되서 기분이 좋습니다.아,참 그리고 핸드폰을 지금 기점 10월인데, 제조월이 23.08로 되어 있더라고요. 참조하세요."
평점4,23.06.27.,용량: S23울트라 512GB / 색상: 팬텀블랙,"아이폰에서 갤럭시로 갈아타는 순간!신랑이 이번에  S23으로 바꾸고 싶어해서 울트라로 구매했어요. 그린컬러를 권했지만 블랙이 좋다네요.ㅎ적응하는덴 시간이 걸리겠지만 아주 만족해합니다.할인하는 곳이 여러군데 비교해보다가 하나카드 프로모션이 해당되서 가장 저렴했어요.따져보니 약2만5천? 정도 :  )그런데, 7월에 하나카드 캐시백들어오는거 맞죠?"
평점5,23.06.20.,용량: S23울트라 512GB / 색상: 크림,이전부터 울트라기종이 눈에 들어왔지만 무거워서 계속 고민하고 있었는데 눈에 아른거려서 샀습니다! 크림색으로 하니 그렇게 투박해보이지도 않고 좋아요 무엇보다 카메라가 탐났던거라 이것저것 찍어보고있는데 오랜만에 바꿔서 그런지 몰라도 만족도가 높아요 덕분에 좋은 가격으로 구매해서 만족합니다!!
평점5,23.06.14.,용량: S23울트라 256GB / 색상: 그린,"이번 s23 울트라 평이 좋아서 그린색으로 주문했어요.원쁠딜, 파워적립, 플러스친구 적립에 하나카드 7프로적립까지. 할인을 끌어모아 알뜰히 비싸지만 싸게^^구입했네요. 배송도 어제 밤에 주문했는데 오늘 도착했어요. 잘쓰겠습니다."
평점4,23.07.04.,용량: S23울트라 512GB / 색상: 그린,"아빠가 폰을 바꾸실 때가 되셔서 알아보다가 우연히 라이브방송 혜택이 좋길래 구매했어요! 혜택이 좋은데 받기는 좀 어려운 부분이 있더라구요ㅠ 어르신들은 구매가 더 어려울것 같다는 생각이 들었어요. 무튼 그래도 좋은 혜택으로 구매했고 512울트라를 구매했는데 이번엔 좀 오래 쓰셨으면 하는 마음이 드네요. 아참 배송이 보장된 상품은 빠르게 받는건 너무 좋지만, 아주 큰 단점이 취소가 바로 안된다는 점이라 이부분도 보완이 되면 좋겠어요! 순간 결제를 잘못해도 바로 취소 안되어서 정말 불편했습니다 ㅠㅠ"
평점5,23.10.23.,용량: S23울트라 256GB / 색상: 팬텀블랙,갤럭시 폴드3를 쓰다가 슬슬 보내줄때가 된거같아 다음 갤럭시로 뭘쓸까 고민하다 카메라도 좋고 폰도 크고 폴드5는 폴드3를 써본 사람으로써 비싸기만라고 크게 실용적이지 못합니다. 울트라가 더 낫습니다. 갤럭시의 부족함을 아이폰으로 채웠었는데 울트라가 너무 마음에 들어 아이폰도 처분할까 고민할정도로 만족스럽습니다!
평점5,23.06.15.,용량: S23울트라 512GB / 색상: 크림,"아내 생일 선물로 주려고 구입했습니다. 구매하자마자 다음날 바로 도착하네요. 아직 포장을 뜯지는 않았지만, 아내가 너무 좋아할 것 같네요. 핸드폰 내부에 충전기가 안 들어 있는 걸로 알고 있는데, 별도 충전기를 선물로 주시니 일석이조네요."
