star,date,info,content
평점4,23.06.22.,용량: S23플러스 256GB / 색상: 그린,자급제 처음 구매라 걱정  됫는데 좋네요4%쿠폰 때문에 정신이 없던거 와 A34도 쌓여있던 종이포장이 비싼 S23플러스에 없는 게 살짝 당황하긴 했지만 기계에 이상 없이 사용하고 있는거에 만족합니다. 배송이 너무 빨라도 의심이....ㅎ충전기 헤드는 이틀 뒤에 따로 받았는데 폰 검수 다 하고 같이 보내주셔도 될듯요~(제 생각이 그래요)
평점5,23.06.20.,용량: S23플러스 512GB / 색상: 크림,자급제 처음이라 걱정 햇는데 고장없이 잘 사용 중  입니다. 주문한 다음날 저녁에 도착햇어요 배송 최고!!쿠폰에 문제가 있어 급하게 사느라 정신이 없엇긴 햇지만 약정 요금제 싫고 스마트스위치로 기존 폰에서 가져오는 것도 쉽고 저한테는 자급제가 딱이에요~S23플러스 2대 같이 사려다 아이디당 1대만 구매 가능해서 살짝 당황햇어요충전기는 다음날 따로 와서 받앗습니다.택배 비용 아까운듯ㅎ
평점5,23.09.12.,용량: S23플러스 256GB / 색상: 크림,갑자기 오래 쓰던 핸드폰이 고장나서 급하게 주문해 보았어요. 마침 쇼핑라이브랑 딱 맞아 떨어져서 잘 구매할 수 있었어요. 기본 포인트와 카드 썼을 때 주는 포인트 다 더하면 여기가 가장 싸서 정말 만족합니다.구입할 당시에 그린하고 블랙이 없어서 크림 샀는데 사신 그린이 사고 싶어서 그건 좀 아쉽고 바로 다음날 받을 수 있어서 진짜 좋았어요. 갤럭시23 플러스 아이폰보다 더 예쁘고 카메라도 좋고 정말 만족스러워요
평점5,23.06.14.,용량: S23플러스 256GB / 색상: 팬텀블랙,하루만에 배송되었습니다바로 배송이 되네요 주문하고 나서 컬러 교환요청드렸으나 결재하자 마자 배송준비가 되어서 교환을 못했네요아버지 생신선물이라 뜯어보진 못했습니다 뽁뽁이 없이 딸랑 택배박스에 담겨 와서 좀.....그렇긴 하지만 잘 왔겠지요 뭐
평점5,23.06.21.,용량: S23플러스 256GB / 색상: 크림,배송 정말 빠르게왔어요! 크림색상 품절이 많던데 여기에는 있어서 포인트까지 혜택보고 잘 구매했어어요~~ 폰디자인 맘에 들고 넘 좋네요! 충전기도 다음 날 잘 받았습니다
평점5,23.08.05.,용량: S23플러스 256GB / 색상: 라벤더,"S8 오래동안 쓰고, S23 으로 넘어오게 되었네요이게 바로 신세계네요. 배송 너무 너무 빠르떼, 상자가 찌그러져ㅠㅠ내용물은 포장이 잘되어 이상이 없네요S23 아 앞으로 잘 부탁한다 ㅎㅎ"
평점5,23.09.27.,용량: S23플러스 256GB / 색상: 라벤더,너무 이쁘네요 사길 잘한거 같아요아이폰14프로보다 살짝 크네요 그리고 살짝 더 가벼워요 잘쓸게요
평점5,23.06.15.,용량: S23플러스 256GB / 색상: 그린,핸드폰 바꿀때가 됐었는데 마침 라이브로 추가할인을 하고있어서 구매했어요. 어제 저녁에 주문하고 오늘 오후에 도착했어요. 심플한게 마음에 듭니다.
평점5,23.06.16.,용량: S23플러스 256GB / 색상: 라벤더,잘받았습니다. 아이폰에서 갈아타서 좀적응이 필요하지만 좋아요! 굿굿 색깔도 맘에들어요
평점4,23.08.17.,용량: S23플러스 256GB / 색상: 팬텀블랙,부모님한테 드리기 위해 구매했는데 봉인 테이프가 살짝 뜯어져 있긴 하지만 전체적으로 만족합니다.
